모델명,연료,트림,가격
SM3 네오,가솔린,LE,360
싼타페 TM,디젤,2.0 2WD,2080
스포티지 더 볼드,디젤,2.0 4WD,1450
카니발 4세대,디젤,9인승 하이리무진,4130
스타리아,LPG,L3.5 카고 5인승,2890
아반떼 AD,가솔린,1.6 GDI 스마트,1250
싼타페 TM,디젤,2.0 2WD,1830
올 뉴 투싼,디젤,2.0 2WD,1600
G70,가솔린,3.3T 스포츠 AWD,3140
카니발 4세대,디젤,9인승 시그니처,2950
G90,가솔린,3.3 T AWD,3990
그랜저 IG,가솔린,2.4 프리미엄,1950
더 뉴 K9 2세대,가솔린,3.8 GDI AWD,4450
G90,가솔린,3.8 AWD,3790
올 뉴 말리부,가솔린,1.5 터보 LT,770
G4 렉스턴,디젤,2.2 4WD,2390
더 뉴 그랜저 IG,가솔린,3.3,1760
더 K9,가솔린,3.3 T-GDI,2950
SM5 뉴 임프레션,가솔린,SE,220
그랜저 HG,가솔린,HG240 모던,750
쏘나타 뉴 라이즈,가솔린,2.0 스마트,1280
쏘나타 (DN8),가솔린,2,2130
GV80,디젤,3.0  AWD,5210
더 뉴 G70,가솔린,2.0T 4WD,2990
그랜저 HG,가솔린,HG240 모던,730
뉴SM3,가솔린,LE 플러스,285
포르테,가솔린,1.6 GDI 프레스티지,350
더 뉴 카니발,가솔린,9인승 노블레스 스페셜,2020
올란도,LPG,LPG LT,450
더 뉴 그랜저 IG,가솔린,2.5,2279
어메이징 뉴 크루즈,가솔린,1.8 LTZ,399
더 뉴 그랜드 스타렉스,디젤,어반 9인승,1890
더 뉴 모하비,디젤,3.0 4WD,2590
아반떼 AD,가솔린,1.6 GDI 밸류 플러스,1010
G90,가솔린,5.0 AWD,4090
더 뉴 트랙스,디젤,1.6  LT,970
스포티지 4세대,디젤,2.0 2WD 프레스티지,1180
더 뉴 K9,가솔린,3.3 GDI 프레스티지,1290
카니발 4세대,가솔린,9인승 시그니처,2720
더 뉴 QM6,가솔린,2.0 GDe RE 시그니처 2WD,9999
올 뉴 모닝,가솔린,럭셔리,399
투싼 (NX4),가솔린,1.6 터보 2WD,2690
일렉트리파이드 G80 (RG3),전기,e-AWD,6170
YF 쏘나타,LPG,LPI 프리미어,430
더 뉴 싼타페,가솔린,2.5T 2WD,2500
더 뉴 QM6,디젤,1.7 dCi RE 시그니처 2WD,1750
더 뉴 팰리세이드,가솔린,3.8 2WD,3190
더 뉴 카니발,디젤,9인승 노블레스 스페셜,1740
그랜저 HG,가솔린,HG240 모던,799
GV80,가솔린,3.5T  AWD,4700
제네시스 쿠페,가솔린,200 터보 D,980
카니발 4세대,가솔린,9인승 하이리무진,5940
싼타페 TM,가솔린,2.0T 4WD,2790
올 뉴 말리부,가솔린,1.5 터보 퍼펙트 블랙,1150
올 뉴 K7,가솔린,2.4 GDI 프레스티지,1330
그랜저 HG,LPG,LPG HG300 모던,970
더 뉴 아반떼 AD,가솔린,1.6,1250
티볼리,가솔린,LX 2WD,950
더 뉴 QM6,LPG,2.0 LPe RE 2WD,1290
GV80,가솔린,2.5T  AWD,3790
아반떼 AD,가솔린,1.6 GDI 모던,1350
베뉴,가솔린,1.6 플럭스,1620
제네시스 DH,가솔린,G330 프리미엄 AWD,1690
더 뉴 싼타페,가솔린+전기,HEV 1.6 2WD,2900
K8,LPG,3.5 LPG 2WD,2799
티볼리 아머,디젤,기어 플러스 2WD,950
더 뉴 싼타페,가솔린,2.5T 2WD,3600
코란도 투리스모,디젤,2WD KX 11인승,1100
벨로스터 (JS),가솔린,1.6 터보 스포츠,799
GV70,가솔린,2.5T  2WD,4420
더 뉴 레이,가솔린,프레스티지,1070
더 뉴 레이,가솔린,스탠다드,1250
올 뉴 투싼,디젤,1.7 2WD,970
그랜저 HG,LPG,LPG HG300 프리미엄,920
GV80,가솔린,3.5T  AWD,6650
더 뉴 그랜저 IG,가솔린,3.3,2250
투싼 (NX4),가솔린,1.6 터보 2WD,2470
K5 하이브리드 3세대,가솔린+전기,시그니처,2490
올 뉴 모닝,가솔린,디럭스 트렌디,450
더 뉴 K9,가솔린,5.0 GDI 퀀텀,1690
엑센트(신형),가솔린,1.4 VVT 프리미어,550
그랜저 IG,가솔린,3.0 익스클루시브,1820
더 뉴 니로,가솔린+전기,1.6 HEV,2370
G80,디젤,2.2D AWD,1980
올 뉴 카니발,디젤,7인승 리무진,2050
카니발 4세대,디젤,9인승 프레스티지,2020
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1880
더 뉴 레이,가솔린,트렌디,990
G80,가솔린,3.8 GDI AWD,2470
올 뉴 카렌스,LPG,2.0 LPi 럭셔리,590
더 뉴 아반떼 AD,가솔린,1.6,1120
제네시스,가솔린,BH330 프리미엄,850
모하비 더 마스터,디젤,3.0 4WD 5인승,2750
그랜저 IG,가솔린,3.0 익스클루시브,2080
더 넥스트 스파크,가솔린,LT,500
K5 3세대,가솔린,1.6 터보,2140
K8 하이브리드,가솔린+전기,노블레스,2480
싼타페 더 프라임,디젤,2.0 2WD,1199
올 뉴 투싼,디젤,2.0 2WD,990
싼타페 TM,디젤,2.0 2WD,1850
더 뉴 싼타페,디젤,2.2 4WD,3250
올 뉴 투싼,가솔린,1.6 터보 2WD,2150
더 뉴 맥스크루즈,가솔린,3.3 4WD,1320
G80,가솔린,3.3 GDI,2190
아반떼 MD,가솔린,M16 GDI 탑,420
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2230
K5 하이브리드,가솔린+전기,500h 프레스티지,710
그랜저 하이브리드 (GN7),가솔린+전기,캘리그래피,3750
그랜저 하이브리드 (GN7),가솔린+전기,익스클루시브,4120
더 뉴 그랜저 IG,가솔린,2.5,2430
더 뉴 투싼 하이브리드 (NX4),가솔린+전기,HEV 1.6 4WD,3990
팰리세이드,디젤,2.2 4WD,2890
K7 프리미어,가솔린,2.5 GDI 노블레스,2150
올 뉴 K7,가솔린,3.0 GDI 리미티드,1390
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,1970
카니발 4세대,디젤,9인승 프레스티지,2545
스포티지 4세대,디젤,2.0 2WD 프레스티지,1450
쏘렌토 4세대,가솔린+전기,HEV 1.6 4WD,4590
트레일블레이저,가솔린,1.3 터보 2WD,1690
코나,가솔린,1.6 터보 2WD,1850
GV80,디젤,3.0  AWD,3940
더 넥스트 이쿼녹스,가솔린,2WD 프리미어,2849
쏘나타 (DN8),가솔린,1.6 터보,2170
아반떼 (CN7),가솔린,2.0 N,2849
쏘나타 디 엣지(DN8),가솔린,1.6 터보,3445
티볼리,가솔린,VX 2WD,810
셀토스,가솔린,1.6 터보 2WD,2199
팰리세이드,가솔린,3.8 4WD,3090
아이오닉5,전기,롱레인지 AWD,3090
더 K9,가솔린,3.8 GDI AWD,3140
그랜저 하이브리드 (GN7),가솔린+전기,익스클루시브,3970
스팅어,가솔린,3.3 터보 AWD,2830
더 뉴 레이,가솔린,트렌디,599
더 뉴 스파크,가솔린,프리미어,799
임팔라,가솔린,2.5 LTZ,1050
카니발 R,디젤,그랜드 카니발 GLX,380
코란도 C,디젤,클러비 2WD,250
더 뉴 그랜드 스타렉스,디젤,현금수송차,1450
YF 쏘나타,LPG,LPI 프리미어,390
더 뉴 스파크,가솔린,LT,650
올 뉴 K3,가솔린,시그니처,1599
더 뉴 QM6,가솔린,2.0 GDe RE 시그니처 2WD,2300
캐스퍼,가솔린,디 에센셜,9999
GV70,가솔린,2.5T  AWD,5280
K7 프리미어 하이브리드,가솔린+전기,노블레스,2480
더 뉴 QM6,LPG,2.0 LPe RE 시그니처 2WD,2050
그랜저 HG,LPG,LPG HG300 모던,950
올 뉴 카니발,디젤,11인승 디럭스,950
트랙스,가솔린,1.4 LT,570
i40 살룬,가솔린,2.0 GDi,670
카니발 4세대,디젤,9인승 시그니처,3570
더 뉴 토레스,가솔린,1.5 2WD,2890
더 뉴 맥스크루즈,디젤,2.2 4WD,1929
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1799
더 뉴 K3 2세대,가솔린,1.6 터보 GT 5도어,9999
SM3 네오,가솔린,SE,310
더 뉴 카니발,디젤,7인승 리무진,2690
카니발 4세대,가솔린+LPG,하이리무진 구조변경,2850
아반떼 MD,가솔린,M16 GDI 럭셔리,410
말리부,가솔린,2.0 LS 디럭스팩,300
더 뉴 맥스크루즈,디젤,2.2 2WD,1650
더 뉴 그랜저 IG,가솔린,2.5,9999
그랜저 IG 하이브리드,가솔린+전기,익스클루시브,2350
코나 하이브리드,가솔린+전기,모던 스페셜,1540
더 뉴 셀토스,가솔린,1.6 터보 4WD,2990
투싼 하이브리드 (NX4),가솔린+전기,인스퍼레이션 2WD,2540
더 뉴 레이,가솔린,스탠다드,800
더 뉴 카니발,디젤,9인승 노블레스 스페셜,1980
싼타페 TM,디젤,2.0 2WD,2050
올 뉴 모닝 (JA),가솔린,럭셔리,655
SM7 노바,LPG,LPLI 2.0 LPe 장애인용,995
이쿼녹스,디젤,2WD LT,1360
제네시스 쿠페,가솔린,200 터보 R,390
SM3 네오,가솔린,PE,590
더 뉴 그랜드 스타렉스,디젤,밴 3인승,1219
올 뉴 말리부,가솔린,1.5 터보 LTZ,769
올 뉴 K7,디젤,2.2  프레스티지,799
싼타페 (MX5),가솔린+전기,HEV 1.6 2WD,4890
SM5 뉴 임프레션,가솔린,LE,260
제네시스 DH,가솔린,G380 익스클루시브 AWD,1420
G80 (RG3),가솔린,2.5 터보 2WD,3950
더 뉴 레이,가솔린,시그니처,1370
EQ900,가솔린,3.8 GDI,1890
G80,가솔린,3.3 GDI,1790
All New SM7,가솔린,SE,190
셀토스,가솔린,1.6 터보 4WD,1890
더 뉴 벨로스터,가솔린,1.6 터보 디 스펙,737
더 뉴 셀토스,가솔린,1.6 터보 2WD,2690
K3,가솔린,럭셔리,650
GV70,가솔린,3.5T  AWD,4430
더 뉴 레이,가솔린,프레스티지,970
스포티지 5세대,가솔린,1.6 터보 2WD,2139
아반떼 AD,가솔린,1.6 GDI 모던,950
더 프레스티지 K7,LPG,LPI 3.0 디럭스,370
