브랜드,모델명,트림,세부트림,연료,차종,연식
르노코리아(삼성),SM3 네오,LE,,가솔린,세단,2015
기아,스포티지 더 볼드,디젤 2.0 4WD,럭셔리,디젤,CUV,2018
기아,카니발 4세대,9인승 하이리무진(특장업체),,디젤,SUV,2022
현대,스타리아,L3.5 카고 5인승,모던,LPG,SUV,2023
현대,아반떼 AD,1.6 GDI 스마트,,가솔린,세단,2017
현대,올 뉴 투싼,디젤 2.0 2WD,모던 스페셜,디젤,SUV,2017
기아,카니발 4세대,9인승 시그니처,,디젤,SUV,2021
현대,그랜저 IG,2.4 프리미엄,,가솔린,세단,2019
현대,더 뉴 그랜저 IG,3.3,캘리그래피,가솔린,세단,2020
르노코리아(삼성),SM5 뉴 임프레션,SE,,가솔린,세단,2010
현대,그랜저 HG,HG240 모던,,가솔린,세단,2014
현대,쏘나타 뉴 라이즈,2.0 스마트,,가솔린,세단,2017
현대,쏘나타 (DN8),2,프리미엄 패밀리,가솔린,세단,2021
현대,그랜저 HG,HG240 모던,,가솔린,세단,2014
르노코리아(삼성),뉴SM3,LE 플러스,,가솔린,세단,2010
기아,더 뉴 카니발,가솔린 9인승 노블레스 스페셜,,가솔린,SUV,2019
현대,더 뉴 그랜저 IG,2.5,익스클루시브,가솔린,세단,2020
현대,더 뉴 그랜드 스타렉스,어반 9인승,프리미엄 스페셜,디젤,SUV,2018
기아,더 뉴 모하비,디젤 3.0 4WD,프레지던트,디젤,SUV,2018
현대,아반떼 AD,1.6 GDI 밸류 플러스,,가솔린,세단,2017
기아,스포티지 4세대,디젤 2.0 2WD 프레스티지,,디젤,CUV,2017
기아,카니발 4세대,가솔린 9인승 시그니처,,가솔린,SUV,2020
기아,올 뉴 모닝,럭셔리,,가솔린,소형,2012
현대,투싼 (NX4),가솔린 1.6 터보 2WD,프리미엄,가솔린,SUV,2022
현대,YF 쏘나타,LPI 프리미어(장애인용),,LPG,세단,2011
현대,더 뉴 팰리세이드,가솔린 3.8 2WD,익스클루시브,가솔린,SUV,2023
